]0;🐍Wi-Fi: off | code.py | 10.3.0\  1639.0 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  47.7°C |  0.00 bar [0.498 V]
  1664.9 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  45.7°C |  0.00 bar [0.498 V]
  1665.2 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.42 | PD: -0.00  | PI:  0.00 | Brew:  51.5°C |  0.00 bar [0.497 V]
  1665.5 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.42 | PD: -0.00  | PI:  0.00 | Brew:  47.8°C |  0.00 bar [0.495 V]
  1665.8 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.47 | PD:  0.01  | PI:  0.00 | Brew:  51.4°C |  0.00 bar [0.495 V]
  1666.1 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.47 | PD:  0.01  | PI:  0.00 | Brew:  51.3°C |  0.00 bar [0.495 V]
  1666.4 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.47 | PD:  0.01  | PI:  0.00 | Brew:  50.4°C |  0.00 bar [0.500 V]
  1666.7 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD: -0.01  | PI:  0.00 | Brew:  51.9°C |  0.00 bar [0.495 V]
  1667.0 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  48.4°C |  0.00 bar [0.497 V]
  1667.3 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD: -0.01  | PI:  0.00 | Brew:  52.0°C |  0.00 bar [0.495 V]
  1667.6 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  49.2°C |  0.00 bar [0.498 V]
